Serotype	N_total	espK_pos	espV_pos	espN_pos	espK_percent	espV_percent	espN_percent	Cohort
-:H16	5	0	5	0	0.0	100.0	0.0	EPEC
-:H21	8	0	6	2	0.0	75.0	25.0	EPEC
-:H5	2	0	2	0	0.0	100.0	0.0	EPEC
-:H7	2	0	2	0	0.0	100.0	0.0	EPEC
O100/O154:H11	2	2	2	0	100.0	100.0	0.0	EPEC
O101/O162:H33	2	2	2	0	100.0	100.0	0.0	EPEC
O103:H4	4	4	0	0	100.0	0.0	0.0	EPEC
O103:H8	2	0	2	0	0.0	100.0	0.0	EPEC
O108:H16	2	0	0	2	0.0	0.0	100.0	EPEC
O108:H9	6	0	6	0	0.0	100.0	0.0	EPEC
O111:H11	2	2	0	0	100.0	0.0	0.0	EPEC
O111:H2	4	0	4	0	0.0	100.0	0.0	EPEC
O111:H8	2	2	2	2	100.0	100.0	100.0	EPEC
O111:H9	4	2	4	0	50.0	100.0	0.0	EPEC
O114:H45	1	0	1	0	0.0	100.0	0.0	EPEC
O114:H49	2	0	2	0	0.0	100.0	0.0	EPEC
O115:H2	2	2	0	0	100.0	0.0	0.0	EPEC
O119:H8	4	0	4	0	0.0	100.0	0.0	EPEC
O123/O186:H40	2	0	2	0	0.0	100.0	0.0	EPEC
O123/O186:H45	2	0	2	0	0.0	100.0	0.0	EPEC
O128:H2	3	0	3	0	0.0	100.0	0.0	EPEC
O13/O135:H11	4	2	4	0	50.0	100.0	0.0	EPEC
O132:H42	4	0	4	0	0.0	100.0	0.0	EPEC
O138:H48	2	2	0	0	100.0	0.0	0.0	EPEC
O139:H19	2	2	0	0	100.0	0.0	0.0	EPEC
O145:-	6	6	6	6	100.0	100.0	100.0	EPEC
O148:H9	1	1	1	0	100.0	100.0	0.0	EPEC
O153:H19	4	2	2	2	50.0	50.0	50.0	EPEC
O153:H7	2	2	0	0	100.0	0.0	0.0	EPEC
O157:H16	5	0	5	0	0.0	100.0	0.0	EPEC
O157:H7	30	22	30	22	73.33	100.0	73.33	EPEC
O177:H28	2	0	2	0	0.0	100.0	0.0	EPEC
O177:H9	1	1	1	0	100.0	100.0	0.0	EPEC
O180:H2	2	0	2	0	0.0	100.0	0.0	EPEC
O23:H19	2	2	0	0	100.0	0.0	0.0	EPEC
O25:H52	1	0	1	0	0.0	100.0	0.0	EPEC
O26:H11	10	10	2	2	100.0	20.0	20.0	EPEC
O35:H19	2	0	2	2	0.0	100.0	100.0	EPEC
O39:H9	2	2	2	0	100.0	100.0	0.0	EPEC
O3:H26	8	8	6	0	100.0	75.0	0.0	EPEC
O45:H2	6	6	4	6	100.0	66.67	100.0	EPEC
O49:H9	4	4	0	0	100.0	0.0	0.0	EPEC
O4:H16	2	0	2	0	0.0	100.0	0.0	EPEC
O51:H21	2	0	2	0	0.0	100.0	0.0	EPEC
O55:H7	2	2	0	2	100.0	0.0	100.0	EPEC
O63:H6	2	0	2	0	0.0	100.0	0.0	EPEC
O70:H11	1	0	1	0	0.0	100.0	0.0	EPEC
O70:H2	2	2	0	0	100.0	0.0	0.0	EPEC
O76:H7	2	2	2	0	100.0	100.0	0.0	EPEC
O80:H26	8	8	8	0	100.0	100.0	0.0	EPEC
O88:H25	4	0	4	2	0.0	100.0	50.0	EPEC
